id,batch_id,inspection_time,result,severity,sample_size,failed_units,observed_defect_rate,source_ref,supplier_name,component_name,product_id,order_id,inspector,failure_mode
QI-ORD-2024-100000-CMOS图像传感器,BATCH-立讯精密_LUXSHARE-202406,2024-06-01 19:35:00,WARN,medium,199,1,0.00503,SRC-QI-ORD-2024-100000,立讯精密 (Luxshare),CMOS图像传感器,SKU-AE-M01,ORD-2024-100000,Line-QA-A,sensor_noise
QI-ORD-2024-100001-OLED柔性屏,BATCH-长江存储_YMTC-202309,2023-09-02 18:59:00,FAIL,high,118,1,0.00847,SRC-QI-ORD-2024-100001,长江存储 (YMTC),OLED柔性屏,SKU-WE-V01,ORD-2024-100001,Line-QA-A,display_mura
QI-ORD-2024-100002-散热模组,BATCH-长江存储_YMTC-202311,2023-11-12 00:43:00,FAIL,high,95,1,0.01053,SRC-QI-ORD-2024-100002,长江存储 (YMTC),散热模组,SKU-AE-C01,ORD-2024-100002,Line-QA-B,display_mura
QI-ORD-2024-100003-散热模组,BATCH-华为海思_HISILICON-202401,2024-01-05 23:02:00,FAIL,high,127,1,0.00787,SRC-QI-ORD-2024-100003,华为海思 (HiSilicon),散热模组,SKU-CE-L01,ORD-2024-100003,Line-QA-A,connector_shift
QI-ORD-2024-100004-闪存颗粒,BATCH-比亚迪半导体_BYD-202307,2023-07-11 02:31:00,FAIL,high,132,1,0.00758,SRC-QI-ORD-2024-100004,比亚迪半导体 (BYD),闪存颗粒,SKU-ST-S01,ORD-2024-100004,Factory-QA-7,functional_drift
QI-ORD-2024-100005-散热模组,BATCH-闻泰科技_WINGTECH-202408,2024-08-23 15:54:00,FAIL,high,127,2,0.01575,SRC-QI-ORD-2024-100005,闻泰科技 (Wingtech),散热模组,SKU-CE-L01,ORD-2024-100005,Line-QA-B,connector_shift
QI-ORD-2024-100006-光学镜头,BATCH-立讯精密_LUXSHARE-202306,2023-06-23 06:03:00,FAIL,high,141,1,0.00709,SRC-QI-ORD-2024-100006,立讯精密 (Luxshare),光学镜头,SKU-WE-V01,ORD-2024-100006,Line-QA-A,functional_drift
QI-ORD-2024-100008-硅晶圆,BATCH-立讯精密_LUXSHARE-202312,2023-12-27 15:12:00,FAIL,high,163,1,0.00613,SRC-QI-ORD-2024-100008,立讯精密 (Luxshare),硅晶圆,SKU-ST-S01,ORD-2024-100008,Factory-QA-7,functional_drift
QI-ORD-2024-100009-光学镜头,BATCH-立讯精密_LUXSHARE-202306,2023-06-17 17:49:00,FAIL,high,145,1,0.00690,SRC-QI-ORD-2024-100009,立讯精密 (Luxshare),光学镜头,SKU-CE-L01,ORD-2024-100009,Line-QA-B,functional_drift
QI-ORD-2024-100010-硅晶圆,BATCH-紫光展锐_UNISOC-202402,2024-02-12 14:18:00,FAIL,high,135,1,0.00741,SRC-QI-ORD-2024-100010,紫光展锐 (UNISOC),硅晶圆,SKU-CE-P01,ORD-2024-100010,Factory-QA-7,functional_drift
QI-ORD-2024-100011-OLED柔性屏,BATCH-长江存储_YMTC-202306,2023-06-18 15:46:00,WARN,medium,191,1,0.00524,SRC-QI-ORD-2024-100011,长江存储 (YMTC),OLED柔性屏,SKU-ST-M01,ORD-2024-100011,Factory-QA-7,display_mura
QI-ORD-2024-100012-主控芯片,BATCH-中芯国际_SMIC-202407,2024-07-10 05:20:00,WARN,medium,170,1,0.00588,SRC-QI-ORD-2024-100012,中芯国际 (SMIC),主控芯片,SKU-CE-L01,ORD-2024-100012,Line-QA-B,functional_drift
QI-ORD-2024-100013-PCB印刷电路板,BATCH-中芯国际_SMIC-202307,2023-07-24 19:30:00,FAIL,high,209,2,0.00957,SRC-QI-ORD-2024-100013,中芯国际 (SMIC),PCB印刷电路板,SKU-WE-V01,ORD-2024-100013,Line-QA-A,functional_drift
QI-ORD-2024-100014-PCB印刷电路板,BATCH-歌尔股份_GOERTEK-202406,2024-06-09 13:28:00,FAIL,high,111,1,0.00901,SRC-QI-ORD-2024-100014,歌尔股份 (Goertek),PCB印刷电路板,SKU-CE-P01,ORD-2024-100014,Line-QA-B,functional_drift
