id,delay_stage,occurred_at,severity,reason_code,delay_hours,eta_before,eta_after,source_ref,order_id,carrier_name,product_id,supplier_name,trans_mode,ship_mode,location_hint
DE-ORD-2024-100001,delivery,2023-09-03 22:59:00,medium,air_cargo_rollover,48.0,2023-09-04 01:59:00,2023-09-06 01:59:00,SRC-DE-ORD-2024-100001,ORD-2024-100001,跨越速运,SKU-WE-V01,长江存储 (YMTC),航空货运,次晨达,武汉转运场
DE-ORD-2024-100003,linehaul,2024-01-08 10:02:00,medium,inspection_hold,48.0,2024-01-10 13:02:00,2024-01-12 13:02:00,SRC-DE-ORD-2024-100003,ORD-2024-100003,跨越速运,SKU-CE-L01,华为海思 (HiSilicon),公路干线,标准汽运,武汉转运场
DE-ORD-2024-100004,linehaul,2023-07-12 17:31:00,medium,linehaul_delay,24.0,2023-07-15 07:31:00,2023-07-16 07:31:00,SRC-DE-ORD-2024-100004,ORD-2024-100004,德邦快递,SKU-ST-S01,比亚迪半导体 (BYD),公路干线,标准汽运,上海港前置仓
DE-ORD-2024-100009,delivery,2023-06-19 08:49:00,medium,inspection_hold,48.0,2023-06-19 11:49:00,2023-06-21 11:49:00,SRC-DE-ORD-2024-100009,ORD-2024-100009,京东物流,SKU-CE-L01,立讯精密 (Luxshare),航空货运,次晨达,武汉转运场
DE-ORD-2024-100011,delivery,2023-06-20 08:46:00,medium,linehaul_delay,24.0,2023-06-24 22:46:00,2023-06-25 22:46:00,SRC-DE-ORD-2024-100011,ORD-2024-100011,邮政EMS,SKU-ST-M01,长江存储 (YMTC),铁路干线,普列运输,深圳航站
DE-ORD-2024-100012,delivery,2024-07-11 07:20:00,medium,linehaul_delay,24.0,2024-07-15 21:20:00,2024-07-16 21:20:00,SRC-DE-ORD-2024-100012,ORD-2024-100012,邮政EMS,SKU-CE-L01,中芯国际 (SMIC),铁路干线,普列运输,武汉转运场
DE-ORD-2024-100013,linehaul,2023-07-27 12:30:00,medium,inspection_hold,48.0,2023-07-29 15:30:00,2023-07-31 15:30:00,SRC-DE-ORD-2024-100013,ORD-2024-100013,邮政EMS,SKU-WE-V01,中芯国际 (SMIC),公路干线,标准汽运,上海港前置仓
DE-ORD-2024-100015,delivery,2024-08-08 06:15:00,medium,linehaul_delay,48.0,2024-08-12 09:15:00,2024-08-14 09:15:00,SRC-DE-ORD-2024-100015,ORD-2024-100015,德邦快递,SKU-WE-V01,京东方 (BOE),铁路干线,普列运输,武汉转运场
DE-ORD-2024-100017,linehaul,2024-07-16 19:00:00,medium,inspection_hold,48.0,2024-07-18 22:00:00,2024-07-20 22:00:00,SRC-DE-ORD-2024-100017,ORD-2024-100017,中通快递,SKU-AE-M01,京东方 (BOE),公路干线,标准汽运,上海港前置仓
DE-ORD-2024-100018,linehaul,2024-09-07 22:25:00,medium,linehaul_delay,24.0,2024-09-10 12:25:00,2024-09-11 12:25:00,SRC-DE-ORD-2024-100018,ORD-2024-100018,德邦快递,SKU-CE-P01,立讯精密 (Luxshare),公路干线,标准汽运,武汉转运场
DE-ORD-2024-100019,linehaul,2024-04-22 11:07:00,high,carrier_capacity,120.0,2024-04-23 05:07:00,2024-04-28 05:07:00,SRC-DE-ORD-2024-100019,ORD-2024-100019,跨越速运,SKU-WE-W01,韦尔股份 (Willsemi),公路干线,标准汽运,深圳航站
DE-ORD-2024-100020,delivery,2024-03-05 11:46:00,medium,inspection_hold,48.0,2024-03-09 14:46:00,2024-03-11 14:46:00,SRC-DE-ORD-2024-100020,ORD-2024-100020,中通快递,SKU-ST-S01,紫光展锐 (UNISOC),铁路干线,普列运输,武汉转运场
DE-ORD-2024-100023,linehaul,2024-04-19 00:55:00,medium,linehaul_delay,48.0,2024-04-21 03:55:00,2024-04-23 03:55:00,SRC-DE-ORD-2024-100023,ORD-2024-100023,顺丰速运,SKU-WE-V01,立讯精密 (Luxshare),公路干线,标准汽运,杭州分拨中心
DE-ORD-2024-100031,linehaul,2023-07-19 20:29:00,medium,inspection_hold,48.0,2023-07-21 23:29:00,2023-07-23 23:29:00,SRC-DE-ORD-2024-100031,ORD-2024-100031,德邦快递,SKU-WE-W01,紫光展锐 (UNISOC),公路干线,标准汽运,深圳航站
DE-ORD-2024-100032,delivery,2023-10-05 00:43:00,medium,inspection_hold,24.0,2023-10-09 14:43:00,2023-10-10 14:43:00,SRC-DE-ORD-2024-100032,ORD-2024-100032,中通快递,SKU-AE-M01,闻泰科技 (Wingtech),铁路干线,普列运输,武汉转运场
DE-ORD-2024-100033,linehaul,2024-01-15 14:45:00,medium,inspection_hold,24.0,2024-01-18 04:45:00,2024-01-19 04:45:00,SRC-DE-ORD-2024-100033,ORD-2024-100033,极兔速递,SKU-CE-P01,立讯精密 (Luxshare),公路干线,标准汽运,深圳航站
DE-ORD-2024-100035,delivery,2023-08-09 21:08:00,medium,air_cargo_rollover,48.0,2023-08-10 00:08:00,2023-08-12 00:08:00,SRC-DE-ORD-2024-100035,ORD-2024-100035,顺丰速运,SKU-WE-V01,歌尔股份 (Goertek),航空货运,次晨达,杭州分拨中心
DE-ORD-2024-100038,linehaul,2023-06-17 06:04:00,medium,inspection_hold,24.0,2023-06-19 20:04:00,2023-06-20 20:04:00,SRC-DE-ORD-2024-100038,ORD-2024-100038,邮政EMS,SKU-CE-P01,立讯精密 (Luxshare),公路干线,标准汽运,杭州分拨中心
DE-ORD-2024-100039,linehaul,2024-02-04 04:11:00,medium,inspection_hold,24.0,2024-02-06 18:11:00,2024-02-07 18:11:00,SRC-DE-ORD-2024-100039,ORD-2024-100039,圆通速递,SKU-CE-P01,比亚迪半导体 (BYD),公路干线,标准汽运,上海港前置仓
DE-ORD-2024-100041,delivery,2024-06-26 18:28:00,medium,linehaul_delay,24.0,2024-07-01 08:28:00,2024-07-02 08:28:00,SRC-DE-ORD-2024-100041,ORD-2024-100041,邮政EMS,SKU-AE-C01,华为海思 (HiSilicon),铁路干线,普列运输,武汉转运场
DE-ORD-2024-100042,linehaul,2023-06-10 10:11:00,medium,inspection_hold,48.0,2023-06-12 13:11:00,2023-06-14 13:11:00,SRC-DE-ORD-2024-100042,ORD-2024-100042,极兔速递,SKU-CE-L01,立讯精密 (Luxshare),公路干线,标准汽运,武汉转运场
DE-ORD-2024-100043,delivery,2023-07-30 22:15:00,medium,inspection_hold,48.0,2023-07-31 01:15:00,2023-08-02 01:15:00,SRC-DE-ORD-2024-100043,ORD-2024-100043,京东物流,SKU-WE-V01,比亚迪半导体 (BYD),航空货运,次晨达,深圳航站
DE-ORD-2024-100044,linehaul,2023-09-25 23:28:00,medium,inspection_hold,48.0,2023-09-28 02:28:00,2023-09-30 02:28:00,SRC-DE-ORD-2024-100044,ORD-2024-100044,顺丰速运,SKU-CE-P01,比亚迪半导体 (BYD),公路干线,标准汽运,武汉转运场
DE-ORD-2024-100045,linehaul,2024-09-15 14:09:00,medium,inspection_hold,48.0,2024-09-17 17:09:00,2024-09-19 17:09:00,SRC-DE-ORD-2024-100045,ORD-2024-100045,极兔速递,SKU-AE-C01,长江存储 (YMTC),公路干线,标准汽运,武汉转运场
DE-ORD-2024-100046,delivery,2023-09-11 09:25:00,medium,inspection_hold,24.0,2023-09-11 23:25:00,2023-09-12 23:25:00,SRC-DE-ORD-2024-100046,ORD-2024-100046,京东物流,SKU-ST-M01,闻泰科技 (Wingtech),航空货运,次晨达,深圳航站
DE-ORD-2024-100049,delivery,2023-09-23 04:02:00,medium,linehaul_delay,24.0,2023-09-27 18:02:00,2023-09-28 18:02:00,SRC-DE-ORD-2024-100049,ORD-2024-100049,邮政EMS,SKU-ST-S01,歌尔股份 (Goertek),铁路干线,普列运输,深圳航站
DE-ORD-2024-100052,linehaul,2024-07-27 14:09:00,medium,inspection_hold,48.0,2024-07-29 17:09:00,2024-07-31 17:09:00,SRC-DE-ORD-2024-100052,ORD-2024-100052,跨越速运,SKU-AE-C01,闻泰科技 (Wingtech),公路干线,标准汽运,深圳航站
DE-ORD-2024-100054,delivery,2024-05-27 18:37:00,medium,air_cargo_rollover,48.0,2024-05-27 21:37:00,2024-05-29 21:37:00,SRC-DE-ORD-2024-100054,ORD-2024-100054,跨越速运,SKU-WE-V01,紫光展锐 (UNISOC),航空货运,次晨达,上海港前置仓
